ESPECIES_NAME,LATIN_NAME,NATURE
Aigrette bleue,Egretta caerulea,Migrateur
Aigrette garzette,Egretta garzetta,Migrateur
Aigrette neigeuse,Egretta thula,Migrateur
Aigrette tricolore,Egretta tricolor ruficollis,Migrateur
Amazone aourou,Amazona amazonica,Exogène introduit par l'homme
Astrild à joues orange,Estrilda melpoda,
Astrild cendré,Estrilda troglodytes,Exogène introduit par l'homme
Astrild ondulé,Estrilda astrild,Exogène introduit par l'homme
Astrild ondulé,Estrilda astrild,Exogène introduit par l'homme
Balbuzard pêcheur,Pandion haliaetus ridgwayi,Migrateur
Bécasseau minuscule,Calidris minutilla,Migrateur
Bengali rouge,Amandava amandava,Exogène introduit par l'homme
Bihoreau gris,Nyctanassa violacea bancrofti,Autochtone
Bihoreau violacé,Nycticorax nycticorax hoactli,Migrateur
Canard musqué,Cairina moschata (domestique),Exogène introduit par l'homme
Capucin à tête blanche,Lonchura maja,Exogène introduit par l'homme
Capucin à tête noire,Lonchura atricapilla,Exogène introduit par l'homme
Chevalier criard,Tringa melanoleuca,Migrateur
Chevalier grivelé,Actitis macularia,Migrateur
Chevalier pattes jaunes,Tringa flavipes,Migrateur
Chevalier solitaire,Tringa solitaria,Migrateur
Colibri à tête bleue,Riccordia bicolor ou Cyanophaia bicolor,Endémique des Petites Antilles
Colibri falle-vert,Eulampis h. holosericeus,Endémique des Petites Antilles
Colibri huppé,Orthorhyncus cristatus exilis,Endémique des Petites Antilles
Colibri madère,Eulampis jugularis,Endémique des Petites Antilles
Colombe à croissant,Geotrygon mystacea,Endémique des Petites Antilles
Colombe à queue noire,Columbina passerina trochila,Autochtone
Colombe rouviolette,Geotrygon  montana martinica,Autochtone
Coq bankiva,Gallus gallus,Exogène introduit par l'homme
Coulicou manioc,Coccyzus minor,Autochtone
Crabier chevelu,Ardeola ralloides,Migrateur rare
Crécerelle d'Amérique,Falco sparverius dominicensis,Autochtone
Elénie siffleuse,Elaenia m. martinica,Autochtone
Euplecte franciscain,Euplectes franciscanus,Exogène introduit par l'homme
Faucon émerillon,Falco columbarius,Migrateur
Faucon pèlerin,Falco peregrinus,Migrateur
Frégate superbe,Fregata magnificens,Marin
Gallinule d'Amérique,Gallinula galeata cerceris,Autochtone
Grande aigrette,Ardea alba egretta,Migrateur
Grande héron,          Ardea herodias occidentalis,Migrateur
Gravelot semipalmé,Charadrius semipalmatus,Migrateur
Héron garde-bœuf,Bubulcus i. ibis,Exogène colonisateur naturel
Héron vert,Butorides v. virescens,Autochtone
Hirondelle à ventre blanc,Progne dominicensis,Migrateur
Hirondelle de rivage,Riparia Pogne,Migrateur
Hirondelle rustique,Hirundo r. rustica,Migrateur
Huîtrier d'Amérique,Haematopus palliatus,Migrateur
Martin pêcheur d'Amérique,Megaceryle alcyon,Migrateur
Martinet chiquesol,Chaetura martinica,Endémique des Petites Antilles
Martinet sombre,Cypseloides n. niger,Migrateur
Merle à lunettes,Turdus n. nudigenis,Exogène colonisateur naturel
Moqueur corossol,Margarops fuscatus densirostris,Endémique des Petites Antilles
Moqueur des savanes,Mimus gilvus antillarum,Autochtone
Moqueur gorge blanche,Ramphocinclus brachyurus,Endémique de la Martinique
Moqueur grivotte,Allenia fusca hypenema,Endémique des Petites Antilles
Moucherolle gobemouche,Contopus latirostris brunnei capillus,Endémique des Petites Antilles
Mouette atricilla,Leucophaeus atricilla,Marin
Noddi brun,Anous stolidus,Marin
Organiste louis-d'or,Euphonia musica flavifrons,Autochtone
Oriole de Martinique,Icterus bonana,Endémique de la Martinique
Paruline jaune,Dendroica  ou Setophaga petechia ruficapilla,Autochtone
Pélican brun,Pelecanus occidentalis,Marin
Perruche à collier,Psittacula krameri,Exogène introduit par l'homme
Petite Buse,Buteo platypterus rivierei,Autochtone
Pigeon à coup rouge,Patagioenas squamosa,Migrateur
Pigeon biset domestique,Columba livia,Exogène introduit par l'homme
Quiscale merle,Quiscalus lugubris guadeloupensis,Autochtone
Saltator gros-bec,Saltator a. albicollis,Autochtone
Solitaire siffleur,Myadestes g. genibarbis,Endémique des Petites Antilles
Sporophile cici, Melanospiza bicolor ou Tiaris bicolor,Autochtone
Sporophile curio,Sporophila angolensis torrida,Exogène introduit par l'homme
Sporophile rougegorge,Loxigilla n. noctis,Endémique des Petites Antilles
Sterne bridée,Onychoprion anaethetus,Marin
Sterne de Dougall,Sterna d. dougallii,Marin
Sterne fuligineuse,Onychoprion fuscatus,Marin
Sterne royale,Thalasseus maximus,Marin
Sucrier à ventre jaune,Coereba flaveola martinicana,Autochtone
Tisserin gendarme,Ploceus cucullatus,Exogène introduit par l'homme
Tournepierre à collier,Arenariai nterpres,Migrateur
Tourterelle à queue carrée,Zenaida a. aurita,Autochtone
Tourterelle oreillarde,Zenaida auriculata stenura,Exogène colonisateur naturel
Tourterelle turque,Streptopelia decaocto,Exogène introduit par l'homme
Trembleur gris,Cinclocerthia g. gutturalis,Endémique des Petites Antilles
Tyran gris,Tyrannus dominicensis vorax,Autochtone
Tyran janeau,Myiarchus oberi sclateri,Endémique des Petites Antilles
Vacher luisant,Molothrus bonariensi minimus,Exogène colonisateur naturel
Viréo à moustaches,Vireo altiloquus barbadensis,Autochtone
