TRANSECT_NAME,COORDINATE_X,COORDINATE_Y,HABITAT_TYPE,TRANSECT_ID,POINT_ID
Aéroport,714593,1614233,Mangrove,S1,SIPI
Aéroport,714416,1614194,Mangrove,S1,S1P2
Aéroport,714133,1614141,Mangrove,S1,S1P3
Aéroport,713914,1614103,Mangrove,S1,S1P4
Aéroport,713719,1614062,Mangrove,S1,S1P5
Aéroport,713559,1614036,Mangrove,S1,S1P6
Aéroport,713381,1614004,Mangrove,S1,S1P7
Aéroport,713205,1613968,Mangrove,S1,S1P8
Aéroport,713048,1613940,Mangrove,S1,S1P9
Aéroport,712916,1613819,Mangrove,S1,S1P10
Anse Couleuvre,691753,1641035,Forêt humide,S2,S2P1
Anse Couleuvre,691872,1641189,Forêt humide,S2,S2P2
Anse Couleuvre,691813,1641376,Forêt humide,S2,S2P3
Anse Couleuvre,691999,1641380,Forêt humide,S2,S2P4
Anse Couleuvre,692172,1641442,Forêt humide,S2,S2P5
Anse Couleuvre,692361,1641475,Forêt humide,S2,S2P6
Anse Couleuvre,692570,1641450,Forêt humide,S2,S2P7
Anse Couleuvre,692725,1641586,Forêt humide,S2,S2P8
Anse Couleuvre,692929,1641582,Forêt humide,S2,S2P9
Anse Couleuvre,693114,1641579,Forêt humide,S2,S2P10
Anse Mathurin,707902,1608327,Forêt sèche,S3,S3P1
Anse Mathurin,707746,1608371,Forêt sèche,S3,S3P2
Anse Mathurin,707592,1608388,Forêt sèche,S3,S3P3
Anse Mathurin,707436,1608430,Forêt sèche,S3,S3P4
Anse Mathurin,707307,1608538,Forêt sèche,S3,S3P5
Anse Mathurin,707194,1608416,Forêt sèche,S3,S3P6
Anse Mathurin,707050,1608416,Forêt sèche,S3,S3P7
Anse Mathurin,707037,1608258,Forêt sèche,S3,S3P8
Anse Mathurin,706926,1608146,Forêt sèche,S3,S3P9
Anse Mathurin,706865,1608009,Forêt sèche,S3,S3P10
Anse Meunier,727926,1594648,Plage,S4,S4P1
Anse Meunier,728023,1594527,Plage,S4,S4P2
Anse Meunier,728048,1594366,Plage,S4,S4P3
Anse Meunier,728009,1594221,Plage,S4,S4P4
Anse Meunier,727946,1594081,Plage,S4,S4P5
Anse Meunier,728075,1593984,Plage,S4,S4P6
Anse Meunier,728149,1593826,Plage,S4,S4P7
Anse Meunier,728083,1593698,Plage,S4,S4P8
Anse Meunier,728236,1593639,Plage,S4,S4P9
Anse Meunier,728386,1593600,Plage,S4,S4P10
Autre Bord,720492,1630782,Plage,S5,S5P1
Autre Bord,720456,1630935,Plage,S5,S5P2
Autre Bord,720495,1631077,Plage,S5,S5P3
Autre Bord,720435,1631201,Plage,S5,S5P4
Autre Bord,720439,1631336,Plage,S5,S5P5
Autre Bord,720428,1631419,Plage,S5,S5P6
Autre Bord,720505,1631553,Plage,S5,S5P7
